,Germ.GC,Germ.PGC,Germ.oocyte,Germ.oogonia_STRA8,Germ.oogonia_meiotic,Germ.pre_oocyte,Somatic.CoelEpi_LHX9,Somatic.OSE,Somatic.early_supporting,Somatic.granulosa,Somatic.preGC_I,Somatic.preGC_IIa,Somatic.preGC_IIb
SEC14L2,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02
SEC14L3,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEC14L4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
SEC14L5,0.0,0.01,0.08,0.0,0.01,0.02,0.01,0.05,0.02,0.03,0.03,0.14,0.18
SEC14L6,0.01,0.01,0.09,0.03,0.05,0.02,0.01,0.0,0.0,0.01,0.01,0.0,0.01
SEC16A,0.14,0.26,0.15,0.2,0.31,0.26,0.19,0.18,0.27,0.2,0.15,0.16,0.22
SEC16B,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.05,0.01,0.03,0.02,0.02
SEC22A,0.09,0.13,0.17,0.17,0.25,0.13,0.08,0.06,0.05,0.05,0.05,0.05,0.06
SEC22B,0.37,0.46,0.37,0.4,0.34,0.48,0.44,0.34,0.47,0.25,0.29,0.31,0.26
SEC22C,0.39,0.51,0.27,0.61,0.57,0.51,0.26,0.25,0.33,0.28,0.28,0.22,0.24
SEC23A,0.48,0.61,0.46,0.6,0.39,0.4,0.4,0.32,0.34,0.3,0.27,0.28,0.23
SEC23A-AS1,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0
SEC23B,0.51,0.68,0.24,0.55,0.45,0.39,0.22,0.23,0.27,0.14,0.18,0.18,0.17
SEC23IP,0.42,0.44,0.42,0.47,0.4,0.44,0.23,0.22,0.27,0.19,0.17,0.19,0.2
SEC24A,0.2,0.23,0.2,0.22,0.26,0.21,0.11,0.1,0.18,0.15,0.08,0.1,0.11
SEC24B,0.19,0.2,0.26,0.3,0.37,0.35,0.35,0.26,0.4,0.27,0.2,0.24,0.2
SEC24B-AS1,0.06,0.04,0.04,0.05,0.13,0.14,0.06,0.03,0.09,0.04,0.04,0.03,0.02
SEC24C,0.23,0.38,0.29,0.25,0.2,0.32,0.22,0.21,0.32,0.29,0.18,0.21,0.21
SEC24D,0.44,0.43,0.07,0.44,0.13,0.12,0.25,0.19,0.31,0.19,0.11,0.13,0.08
SEC31A,0.7,0.77,0.43,0.53,0.43,0.45,0.67,0.6,0.7,0.66,0.51,0.58,0.54
SEC31B,0.04,0.03,0.07,0.09,0.09,0.11,0.02,0.02,0.03,0.05,0.02,0.03,0.03
SEC61A1,0.56,0.66,0.24,0.4,0.34,0.33,0.49,0.45,0.55,0.38,0.37,0.4,0.39
SEC61A2,0.31,0.3,0.29,0.49,0.38,0.45,0.18,0.14,0.19,0.06,0.1,0.11,0.09
SEC61B,0.98,0.98,0.74,0.94,0.77,0.87,0.92,0.93,0.97,0.81,0.88,0.93,0.88
SEC61G,1.0,0.99,0.8,0.97,0.87,0.9,0.93,0.93,0.95,0.82,0.82,0.94,0.91
SEC62,0.78,0.85,0.67,0.68,0.71,0.63,0.85,0.8,0.81,0.78,0.71,0.76,0.8
SEC62-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
